method,patient,accuracy,macro_f1,weighted_f1,cd8ex_prec,cd8ex_rec,cd8ex_f1,exhausted_f1
CCA,su001,0.9044627383015598,0.832953343801492,0.905820163075794,0.9759450171821306,0.8427299703264095,0.9044585987261147,0.9044585987261147
CCA,su002,0.7843137254901961,0.7199113054242665,0.7811503478229849,0.8181818181818182,0.9642857142857143,0.8852459016393442,0.8888888888888888
CCA,su003,0.821256038647343,0.6805208230246355,0.822424757875002,0.0,0.0,0.0,0.0
CCA,su004,0.8220858895705522,0.8240440348787342,0.8241163261545252,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
CCA,su005,0.9093070652173914,0.6925456149551072,0.9087175644000836,0.0,0.0,0.0,0.0
CCA,su006,0.8848571428571429,0.6195873497233682,0.8916148390827052,0.0,0.0,0.0,0.0
CCA,su007,0.8463969658659924,0.8305531317930848,0.8555963400731004,0.8125,1.0,0.896551724137931,0.896551724137931
CCA,su008,0.8678705131028408,0.6808137646576006,0.8706804080378382,0.06829268292682927,0.5833333333333334,0.1222707423580786,0.822429906542056
CCA,su009,0.8929328621908127,0.8050430162855657,0.8963968645783114,0.9477611940298507,0.8844011142061281,0.9149855907780979,0.9153024911032028
CCA,su010,0.8143100511073254,0.6750772641460432,0.8138742228226356,0.7441860465116279,0.9142857142857143,0.8205128205128205,0.810126582278481
CCA,su012,0.9357442686470778,0.7506743640633987,0.9334543408832756,0.5,0.16666666666666666,0.25,0.25
scANVI,su001,0.8866984402079723,0.7089206050090835,0.8865570332711499,0.8011695906432749,0.9891696750902527,0.8852988691437803,0.8810289389067524
scANVI,su002,0.7843137254901961,0.7409957019791745,0.7903500892591282,0.8333333333333334,1.0,0.9090909090909091,0.8607594936708861
scANVI,su003,0.8792270531400966,0.8347889182231848,0.8799438198464369,0.5,1.0,0.6666666666666666,0.6666666666666666
scANVI,su004,0.7914110429447853,0.7604751923254562,0.7891870062980417,0.875,0.7777777777777778,0.8235294117647058,0.8235294117647058
scANVI,su005,0.899796195652174,0.7581594191033135,0.9059266127602761,0.23333333333333334,0.7,0.35,0.37209302325581395
scANVI,su006,0.9037142857142857,0.6991130447158285,0.9067046000594006,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.35294117647058826
scANVI,su007,0.8236409608091024,0.7095943337096381,0.8081979211053438,0.7142857142857143,1.0,0.8333333333333334,0.7894736842105263
scANVI,su008,0.8550979960361154,0.732310707828658,0.8519910349599039,0.6102941176470589,0.6148148148148148,0.6125461254612546,0.7121212121212122
scANVI,su009,0.8737338044758539,0.7712358156679511,0.8614016823598311,0.8321428571428572,0.9497282608695652,0.8870558375634517,0.8888888888888888
scANVI,su010,0.8143100511073254,0.6977327543860592,0.8171474842821344,0.5666666666666667,0.9714285714285714,0.7157894736842105,0.7216494845360825
scANVI,su012,0.9418792379722312,0.6888373153003615,0.9481807233118753,0.2608695652173913,0.8571428571428571,0.4,0.4
